"주차장번호";"주차장명";"주차장구분";"주차장유형";"소재지도로명주소";"소재지지번주소";"주차구획수";"급지구분";"부제시행구분";"운영요일";"평일운영시작시각";"평일운영종료시각";"토요일운영시작시각";"토요일운영종료시각";"공휴일운영시작시각";"공휴일운영종료시각";"요금정보";"주차기본시간";"주차기본요금";"추가단위시간";"추가단위요금";"1일주차권요금적용시간";"1일주차권요금";"월정기권요금";"결제방법";"특기사항";"관리기관명";"전화번호";"위도";"경도";"데이터기준일자"
"204-2-000032";"수정보건소 부설";"공영";"노외";"경기도 성남시 수정구 수정로 218";"경기도 성남시 수정구 신흥동 3435번지";206;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;300;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44432957;127.1440597;"2022-06-08"
"204-2-000033";"복정제6공영주차장";"공영";"노외";"경기도 성남시 수정구 복정로118번길 7";"경기도 성남시 수정구 복정동 649번지";112;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.46375601;127.1278652;"2022-06-08"
"204-2-000034";"신흥제9공영주차장";"공영";"노외";"경기도 성남시 수정구 시민로 173";"경기도 성남시 수정구 신흥동 5491번지";179;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44339097;127.1423583;"2022-06-08"
"204-2-000035";"신흥2동제1공영주차장";"공영";"노외";"경기도 성남시 수정구 신흥동 2440";"경기도 성남시 수정구 신흥동 2440";151;1;"요일제";"평일+토요일+공휴일";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"유료";30;400;10;200;24;6000;60000;"신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노외주차처";"";37.44785504;127.1534896;"2022-06-08"
"205-1-000014";"중상24";"공영";"노상";"경기도 성남시 중원구 산성대로 380";"경기도 성남시 중원구 금광동 4394번지";31;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44572119;127.1578132;"2022-06-08"
"205-1-000015";"중상25,26";"공영";"노상";"";"경기도 성남시 중원구 금광동 4850";29;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44919051;127.1589056;"2022-06-08"
"205-1-000016";"중상27";"공영";"노상";"경기도 성남시 중원구 산성대로 414";"경기도 성남시 중원구 금광동 4542번지";27;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44866048;127.1590218;"2022-06-08"
"205-1-000017";"중상31";"공영";"노상";"경기도 성남시 중원구 산성대로 464";"경기도 성남시 중원구 금광동 4790번지";10;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.45306206;127.1609163;"2022-06-08"
"205-1-000018";"중상86";"공영";"노상";"경기도 성남시 중원구 광명로 340";"경기도 성남시 중원구 금광동 1366번지";16;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44557644;127.1635491;"2022-06-08"
"205-1-000019";"중상87";"공영";"노상";"경기도 성남시 중원구 광명로 350";"경기도 성남시 중원구 금광동 1377번지";9;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44586302;127.1648019;"2022-06-08"
"205-1-000020";"중상88";"공영";"노상";"경기도 성남시 중원구 광명로 351";"경기도 성남시 중원구 금광동 3129번지";14;1;"요일제";"평일";"09:00:00";"18:00:00";"00:00:00";"00:00:00";"00:00:00";"00:00:00";"혼합";30;400;10;200;9;7200;60000;"현금+신용카드";"경차, 장애인 차량 50프로 할인 등";"성남도시개발공사 노상주차처";"";37.44637488;127.1647397;"2022-06-08"
